pl_name,pl_orbper,pl_rade,st_teff,pl_orbsmax,pl_insol,pl_eqt,log_orbper,log_insol,radius_earth_ratio,hz_proximity,habitable
K2-140 b,6.5693,12.273855,5654.0,0.0591,188.5,1114.0,2.024100592896307,5.244389024522481,12.273855,0.0,0
K2-140 b,6.569188,13.56286665,5585.0,0.068,204.0,962.0,2.0240857961742034,5.3230099791384085,13.56286665,0.0,0
K2-141 b,0.2803244,1.51,4570.0,0.00747,3260.0,2103.0,0.2471134833216677,8.089789175789319,1.51,0.0,0
K2-141 c,7.7485,7.0,4570.0,0.0683,39.1,695.0,2.1688822571025375,3.6913763343125234,7.0,0.0,0
K2-157 b,0.3652575,0.935,5334.0,0.00962,6660.0,2432.0,0.3113430555343959,8.804024902413179,0.935,0.0,0
K2-16 b,7.6188,2.02,4742.0,0.0667,44.5,658.0,2.153945863847941,3.817712325956905,2.02,0.0,0
K2-16 c,19.07863,2.54,4742.0,0.1229,13.1,485.0,2.999656065404321,2.6461747973841225,2.54,0.0,0
K2-167 b,9.97857,2.2642141,6141.0,0.0999,229.0,1131.0,2.3959451908056657,5.438079308923196,2.2642141,0.0,0
K2-167 b,9.97748,2.3,6011.0,0.091,317.0,1174.0,2.395845901543627,5.762051382780177,2.3,0.0,0
K2-18 b,32.940045,2.61,3457.0,0.1591,1.005,254.9,3.524595585674382,0.6956440607585325,2.61,0.9470588235294116,0
K2-180 b,8.8665,2.24179614,5110.0,0.075,67.0,729.0,2.2891451806273437,4.219507705176107,2.24179614,0.0,0
K2-182 b,4.7369683,2.69,5170.0,0.0526,146.9,969.0,1.7469309000684738,4.996536369716754,2.69,0.0,0
K2-19 b,7.9194,7.74,5430.0,0.074,125.9,854.0,2.188228679755564,4.843399374720342,7.74,0.0,0
K2-19 c,11.90715,4.86,5430.0,0.0971,73.1,745.0,2.5577814213862022,4.3054155323020415,4.86,0.0,0
K2-19 d,2.50856,1.14,5430.0,0.0344,583.5,1252.0,1.255205696889333,6.3707567809121235,1.14,0.0,0
